industrial-classification-correlation	source	target	start-date	end-date
208	industrial-classification-2003:19.30	industrial-classification-2007:15.20		
209	industrial-classification-2003:02.01	industrial-classification-2007:16.10		
210	industrial-classification-2003:20.10	industrial-classification-2007:16.10		
211	industrial-classification-2003:20.20	industrial-classification-2007:16.21		
212	industrial-classification-2003:20.30	industrial-classification-2007:16.22		
213	industrial-classification-2003:20.30	industrial-classification-2007:16.23		
214	industrial-classification-2003:20.40	industrial-classification-2007:16.24		
215	industrial-classification-2003:19.30	industrial-classification-2007:16.29		
216	industrial-classification-2003:20.51	industrial-classification-2007:16.29		
217	industrial-classification-2003:20.52	industrial-classification-2007:16.29		
218	industrial-classification-2003:36.63/9	industrial-classification-2007:16.29		
219	industrial-classification-2003:21.11	industrial-classification-2007:17.11		
220	industrial-classification-2003:21.12	industrial-classification-2007:17.12		
221	industrial-classification-2003:21.21/1	industrial-classification-2007:17.21/1		
222	industrial-classification-2003:21.21/3	industrial-classification-2007:17.21/9		
223	industrial-classification-2003:21.21/4	industrial-classification-2007:17.21/9		
224	industrial-classification-2003:21.21/5	industrial-classification-2007:17.21/9		
225	industrial-classification-2003:21.21/9	industrial-classification-2007:17.21/9		
226	industrial-classification-2003:17.54/9	industrial-classification-2007:17.22		
227	industrial-classification-2003:21.22	industrial-classification-2007:17.22		
228	industrial-classification-2003:21.23	industrial-classification-2007:17.23		
229	industrial-classification-2003:22.22	industrial-classification-2007:17.23		
230	industrial-classification-2003:21.24	industrial-classification-2007:17.24		
231	industrial-classification-2003:21.25/2	industrial-classification-2007:17.29		
232	industrial-classification-2003:21.25/9	industrial-classification-2007:17.29		
233	industrial-classification-2003:36.63/9	industrial-classification-2007:17.29		
234	industrial-classification-2003:22.21	industrial-classification-2007:18.11		
235	industrial-classification-2003:21.25/1	industrial-classification-2007:18.12/1		
236	industrial-classification-2003:21.22	industrial-classification-2007:18.12/9		
237	industrial-classification-2003:22.22	industrial-classification-2007:18.12/9		
238	industrial-classification-2003:22.24	industrial-classification-2007:18.13		
239	industrial-classification-2003:22.25	industrial-classification-2007:18.13		
240	industrial-classification-2003:22.23	industrial-classification-2007:18.14		
241	industrial-classification-2003:22.31	industrial-classification-2007:18.20/1		
242	industrial-classification-2003:22.32	industrial-classification-2007:18.20/2		
243	industrial-classification-2003:22.33	industrial-classification-2007:18.20/3		
244	industrial-classification-2003:23.10	industrial-classification-2007:19.10		
245	industrial-classification-2003:24.14	industrial-classification-2007:19.10		
246	industrial-classification-2003:10.10/3	industrial-classification-2007:19.20/1		
